param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
25,23,4,"(1, 5)",-1,eulerian,0.0,0.005
25,23,6,"(2, 8)",-2,eulerian,0.0,0.007
25,23,8,"(3, 4)",2,eulerian,0.0,0.007
25,23,9,"(3, 6)",-1,eulerian,0.0,0.024
25,23,10,"(3, 8)",-1,eulerian,0.0,0.026
25,23,11,"(4, 5)",2,eulerian,0.0,0.007
25,23,12,"(5, 6)",1,eulerian,0.0,0.006
25,23,13,"(6, 7)",-2,eulerian,0.0,0.026
25,23,14,"(6, 9)",4,eulerian,0.0,0.011
25,23,15,"(6, 10)",-2,eulerian,0.0,0.006
25,23,16,"(7, 8)",-1,eulerian,0.0,0.018
25,23,17,"(7, 10)",-1,eulerian,0.0,0.006
25,23,18,"(8, 9)",-4,eulerian,0.0,0.009
25,23,21,"(10, 11)",-3,eulerian,0.0,0.021
26,24,0,"(0, 1)",-2,eulerian,0.0,0.01
26,24,1,"(0, 11)",2,eulerian,0.0,0.01
26,24,2,"(1, 2)",1,eulerian,0.0,0.006
26,24,3,"(1, 3)",-4,eulerian,0.0,0.025
26,24,4,"(1, 5)",1,eulerian,0.0,0.005
26,24,6,"(2, 8)",3,eulerian,0.0,0.012
26,24,7,"(2, 11)",-2,eulerian,0.0,0.007
26,24,8,"(3, 4)",-3,eulerian,0.0,0.023
26,24,9,"(3, 6)",-1,eulerian,0.0,0.024
26,24,11,"(4, 5)",-3,eulerian,0.0,0.023
26,24,12,"(5, 6)",-2,eulerian,0.0,0.032
26,24,13,"(6, 7)",-2,eulerian,0.0,0.028
26,24,14,"(6, 9)",-1,eulerian,0.0,0.009
26,24,16,"(7, 8)",-1,eulerian,0.0,0.019
26,24,17,"(7, 10)",-1,eulerian,0.0,0.006
26,24,18,"(8, 9)",2,eulerian,0.0,0.028
26,24,20,"(9, 10)",1,eulerian,0.0,0.006
27,25,0,"(0, 1)",2,eulerian,0.0,0.01
27,25,1,"(0, 11)",-2,eulerian,0.0,0.01
27,25,2,"(1, 2)",-2,eulerian,0.0,0.008
27,25,3,"(1, 3)",1,eulerian,0.0,0.007
27,25,4,"(1, 5)",3,eulerian,0.0,0.016
27,25,6,"(2, 8)",-1,eulerian,0.0,0.024
27,25,7,"(2, 11)",-1,eulerian,0.0,0.006
27,25,8,"(3, 4)",3,eulerian,0.0,0.026
27,25,9,"(3, 6)",-2,eulerian,0.0,0.026
27,25,11,"(4, 5)",3,eulerian,0.0,0.026
27,25,12,"(5, 6)",6,eulerian,0.0,0.01
27,25,14,"(6, 9)",2,eulerian,0.0,0.01
27,25,15,"(6, 10)",2,eulerian,0.0,0.007
27,25,16,"(7, 8)",-1,eulerian,0.0,0.018
27,25,17,"(7, 10)",1,eulerian,0.0,0.007
27,25,18,"(8, 9)",-2,eulerian,0.0,0.024
